,Close,High,Low,Open,Time
0,0.735755,0.73585,0.73574,0.73585,20210722  02:45:00
1,0.73578,0.73578,0.735755,0.735755,20210722  02:46:00
2,0.73578,0.73578,0.73578,0.73578,20210722  02:47:00
3,0.73578,0.73578,0.73578,0.73578,20210722  02:48:00
4,0.73578,0.73578,0.73578,0.73578,20210722  02:49:00
5,0.735895,0.735945,0.735775,0.73578,20210722  02:50:00
6,0.735895,0.735895,0.735895,0.735895,20210722  02:51:00
7,0.73557,0.73594,0.7353,0.735895,20210722  02:52:00
8,0.735435,0.73564,0.735435,0.73557,20210722  02:53:00
9,0.73589,0.73589,0.735345,0.735435,20210722  02:54:00
10,0.735525,0.73599,0.73521,0.73589,20210722  02:55:00
11,0.7355,0.735525,0.73534,0.735525,20210722  02:56:00
12,0.7355,0.7355,0.73547,0.7355,20210722  02:57:00
13,0.7355,0.7355,0.73546,0.7355,20210722  02:58:00
14,0.7355,0.7355,0.7355,0.7355,20210722  02:59:00
15,0.735655,0.735655,0.7355,0.7355,20210722  03:00:00
16,0.73567,0.73568,0.735625,0.735655,20210722  03:01:00
17,0.73585,0.735915,0.73562,0.73567,20210722  03:02:00
18,0.73583,0.73585,0.735795,0.73585,20210722  03:03:00
19,0.73583,0.735845,0.73583,0.73583,20210722  03:04:00
20,0.73586,0.73587,0.73583,0.73583,20210722  03:05:00
21,0.73582,0.73586,0.73582,0.73586,20210722  03:06:00
22,0.73582,0.73582,0.73582,0.73582,20210722  03:07:00
23,0.735825,0.735825,0.73581,0.73582,20210722  03:08:00
24,0.73588,0.735885,0.735825,0.735825,20210722  03:09:00
25,0.73588,0.73588,0.73585,0.73588,20210722  03:10:00
26,0.73578,0.73589,0.735755,0.73588,20210722  03:11:00
27,0.735835,0.735855,0.73578,0.73578,20210722  03:12:00
28,0.73584,0.73587,0.735815,0.735835,20210722  03:13:00
29,0.73584,0.73584,0.73584,0.73584,20210722  03:14:00
30,0.73584,0.73584,0.73584,0.73584,20210722  03:15:00
31,0.73584,0.73584,0.73584,0.73584,20210722  03:16:00
32,0.73584,0.73584,0.73584,0.73584,20210722  03:17:00
33,0.73584,0.73584,0.735835,0.73584,20210722  03:18:00
34,0.73583,0.73584,0.73583,0.73584,20210722  03:19:00
35,0.73583,0.73584,0.73583,0.73583,20210722  03:20:00
36,0.73583,0.73583,0.73583,0.73583,20210722  03:21:00
37,0.735815,0.73583,0.735815,0.73583,20210722  03:22:00
38,0.73581,0.735815,0.735805,0.735815,20210722  03:23:00
39,0.73579,0.73581,0.73579,0.73581,20210722  03:24:00
40,0.735795,0.7358,0.73579,0.73579,20210722  03:25:00
41,0.735795,0.735795,0.735795,0.735795,20210722  03:26:00
42,0.735795,0.735795,0.735795,0.735795,20210722  03:27:00
43,0.735835,0.735835,0.735795,0.735795,20210722  03:28:00
44,0.735985,0.736015,0.735835,0.735835,20210722  03:29:00
45,0.735765,0.735985,0.73574,0.735985,20210722  03:30:00
46,0.735735,0.735765,0.735735,0.735765,20210722  03:31:00
47,0.735705,0.735735,0.735705,0.735735,20210722  03:32:00
48,0.73565,0.735725,0.73564,0.735705,20210722  03:33:00
49,0.73567,0.73567,0.73564,0.735645,20210722  03:34:00
50,0.735685,0.735685,0.73567,0.73567,20210722  03:35:00
51,0.73569,0.73569,0.735685,0.735685,20210722  03:36:00
52,0.73569,0.73569,0.73569,0.73569,20210722  03:37:00
53,0.73568,0.73569,0.73568,0.73569,20210722  03:38:00
54,0.7357,0.7357,0.73567,0.73568,20210722  03:39:00
55,0.7357,0.73573,0.7357,0.7357,20210722  03:40:00
56,0.735695,0.735705,0.735695,0.7357,20210722  03:41:00
57,0.73566,0.735695,0.735645,0.735695,20210722  03:42:00
58,0.73565,0.73566,0.73562,0.73566,20210722  03:43:00
59,0.73558,0.73565,0.735575,0.73565,20210722  03:44:00
60,0.73556,0.7356,0.735535,0.73558,20210722  03:45:00
61,0.73548,0.73557,0.73548,0.73556,20210722  03:46:00
62,0.73547,0.73548,0.735465,0.73548,20210722  03:47:00
63,0.735485,0.735485,0.73545,0.73547,20210722  03:48:00
64,0.7355,0.73552,0.735485,0.735485,20210722  03:49:00
65,0.73552,0.73552,0.73548,0.7355,20210722  03:50:00
66,0.73554,0.73557,0.735505,0.73552,20210722  03:51:00
67,0.735555,0.735555,0.735535,0.73554,20210722  03:52:00
68,0.73555,0.735585,0.735545,0.735555,20210722  03:53:00
69,0.7355,0.73555,0.7355,0.73555,20210722  03:54:00
70,0.735485,0.7355,0.735435,0.7355,20210722  03:55:00
71,0.73548,0.7355,0.73548,0.735485,20210722  03:56:00
72,0.73547,0.73548,0.73546,0.73548,20210722  03:57:00
73,0.73547,0.735485,0.735465,0.73547,20210722  03:58:00
74,0.73545,0.735475,0.735435,0.73547,20210722  03:59:00
75,0.73553,0.735535,0.73545,0.73545,20210722  04:00:00
