,Close,High,Low,Open,Time
0,0.697105,0.69716,0.697075,0.697105,20210722  00:45:00
1,0.69722,0.697225,0.697105,0.697105,20210722  00:46:00
2,0.69739,0.697405,0.69722,0.69722,20210722  00:47:00
3,0.697485,0.69749,0.69739,0.69739,20210722  00:48:00
4,0.69758,0.69758,0.69748,0.697485,20210722  00:49:00
5,0.69761,0.69769,0.69757,0.69758,20210722  00:50:00
6,0.697705,0.697705,0.697605,0.69761,20210722  00:51:00
7,0.697705,0.697735,0.697655,0.697705,20210722  00:52:00
8,0.69766,0.697705,0.697655,0.697705,20210722  00:53:00
9,0.6977,0.6977,0.697655,0.69766,20210722  00:54:00
10,0.697695,0.697705,0.697675,0.6977,20210722  00:55:00
11,0.697645,0.6977,0.69764,0.697695,20210722  00:56:00
12,0.69755,0.69765,0.697495,0.697645,20210722  00:57:00
13,0.697505,0.697575,0.69749,0.69755,20210722  00:58:00
14,0.69754,0.6976,0.697485,0.697505,20210722  00:59:00
15,0.697435,0.697545,0.69741,0.69754,20210722  01:00:00
16,0.69742,0.697495,0.69742,0.697435,20210722  01:01:00
17,0.697375,0.69742,0.69737,0.69742,20210722  01:02:00
18,0.69738,0.69738,0.697355,0.697375,20210722  01:03:00
19,0.697375,0.69739,0.69735,0.69738,20210722  01:04:00
20,0.697345,0.69739,0.69733,0.697375,20210722  01:05:00
21,0.6972,0.69735,0.69719,0.697345,20210722  01:06:00
22,0.697245,0.697285,0.6972,0.6972,20210722  01:07:00
23,0.69708,0.697245,0.697075,0.697245,20210722  01:08:00
24,0.697085,0.697145,0.697075,0.69708,20210722  01:09:00
25,0.69713,0.69715,0.697085,0.697085,20210722  01:10:00
26,0.69718,0.697185,0.69712,0.69713,20210722  01:11:00
27,0.69715,0.697195,0.697135,0.69718,20210722  01:12:00
28,0.69718,0.697185,0.69709,0.69715,20210722  01:13:00
29,0.69718,0.69719,0.69713,0.69718,20210722  01:14:00
30,0.69709,0.69719,0.69709,0.69718,20210722  01:15:00
31,0.69698,0.69709,0.69698,0.69709,20210722  01:16:00
32,0.696985,0.696985,0.696965,0.69698,20210722  01:17:00
33,0.696975,0.697005,0.696975,0.696985,20210722  01:18:00
34,0.69688,0.696975,0.69687,0.696975,20210722  01:19:00
35,0.696885,0.6969,0.69683,0.69688,20210722  01:20:00
36,0.69692,0.696935,0.69686,0.696885,20210722  01:21:00
37,0.69698,0.696995,0.69692,0.69692,20210722  01:22:00
38,0.69699,0.69699,0.69698,0.69698,20210722  01:23:00
39,0.697095,0.6972,0.69699,0.69699,20210722  01:24:00
40,0.697125,0.697195,0.697085,0.697095,20210722  01:25:00
41,0.69715,0.6972,0.697125,0.697125,20210722  01:26:00
42,0.69726,0.697325,0.69715,0.69715,20210722  01:27:00
43,0.697305,0.69734,0.697245,0.69726,20210722  01:28:00
