,Close,High,Low,Open,Time
0,1.09012,1.09012,1.090115,1.090115,20210722  02:45:00
1,1.090115,1.09012,1.090115,1.09012,20210722  02:46:00
2,1.090025,1.090115,1.090025,1.090115,20210722  02:47:00
3,1.090025,1.090025,1.090025,1.090025,20210722  02:48:00
4,1.090025,1.090025,1.090025,1.090025,20210722  02:49:00
5,1.090025,1.090025,1.090025,1.090025,20210722  02:50:00
6,1.090025,1.090025,1.090025,1.090025,20210722  02:51:00
7,1.090025,1.090025,1.090025,1.090025,20210722  02:52:00
8,1.090025,1.090025,1.090025,1.090025,20210722  02:53:00
9,1.090025,1.090025,1.090025,1.090025,20210722  02:54:00
10,1.09002,1.090025,1.09002,1.090025,20210722  02:55:00
11,1.090035,1.090035,1.09002,1.09002,20210722  02:56:00
12,1.09003,1.090035,1.09003,1.090035,20210722  02:57:00
13,1.09003,1.09003,1.09003,1.09003,20210722  02:58:00
14,1.09003,1.090035,1.09003,1.09003,20210722  02:59:00
15,1.089485,1.09003,1.08893,1.09003,20210722  03:00:00
16,1.08971,1.08971,1.08941,1.089485,20210722  03:01:00
17,1.089695,1.08971,1.089575,1.08971,20210722  03:02:00
18,1.08971,1.08971,1.089575,1.089695,20210722  03:03:00
19,1.08967,1.08971,1.08967,1.08971,20210722  03:04:00
20,1.089655,1.08967,1.089655,1.08967,20210722  03:05:00
21,1.08966,1.089695,1.089655,1.089655,20210722  03:06:00
22,1.089695,1.089705,1.08966,1.08966,20210722  03:07:00
23,1.0897,1.08971,1.089685,1.089695,20210722  03:08:00
24,1.08969,1.0897,1.08969,1.0897,20210722  03:09:00
25,1.08964,1.089695,1.08964,1.08969,20210722  03:10:00
26,1.089625,1.08964,1.089545,1.08964,20210722  03:11:00
27,1.08961,1.089625,1.08955,1.089625,20210722  03:12:00
28,1.089615,1.089615,1.08961,1.08961,20210722  03:13:00
29,1.08973,1.089735,1.089615,1.089615,20210722  03:14:00
30,1.08973,1.089735,1.08973,1.08973,20210722  03:15:00
31,1.08975,1.08975,1.08973,1.08973,20210722  03:16:00
32,1.089665,1.08975,1.089625,1.08975,20210722  03:17:00
33,1.08965,1.089665,1.08964,1.089665,20210722  03:18:00
34,1.089625,1.089655,1.089615,1.08965,20210722  03:19:00
35,1.089625,1.08965,1.08962,1.089625,20210722  03:20:00
36,1.089435,1.089655,1.08935,1.089625,20210722  03:21:00
37,1.08946,1.089505,1.089435,1.089435,20210722  03:22:00
38,1.08971,1.08972,1.08946,1.08946,20210722  03:23:00
39,1.089665,1.08971,1.089665,1.08971,20210722  03:24:00
40,1.089665,1.089665,1.089665,1.089665,20210722  03:25:00
41,1.08967,1.08967,1.089665,1.089665,20210722  03:26:00
42,1.08967,1.08967,1.08967,1.08967,20210722  03:27:00
43,1.090165,1.090265,1.08967,1.08967,20210722  03:28:00
44,1.089965,1.090165,1.08995,1.090165,20210722  03:29:00
45,1.08983,1.089965,1.08958,1.089965,20210722  03:30:00
46,1.089865,1.08987,1.08983,1.08983,20210722  03:31:00
47,1.08995,1.089955,1.08986,1.089865,20210722  03:32:00
48,1.08995,1.08995,1.08995,1.08995,20210722  03:33:00
49,1.089945,1.089955,1.089935,1.08995,20210722  03:34:00
50,1.09003,1.090055,1.089945,1.089945,20210722  03:35:00
51,1.090045,1.09009,1.09002,1.09003,20210722  03:36:00
52,1.09005,1.090055,1.090045,1.090045,20210722  03:37:00
53,1.09005,1.09005,1.09002,1.09005,20210722  03:38:00
54,1.090055,1.090055,1.09005,1.09005,20210722  03:39:00
55,1.09006,1.09006,1.090055,1.090055,20210722  03:40:00
56,1.090055,1.09006,1.09005,1.09006,20210722  03:41:00
57,1.090055,1.090055,1.090055,1.090055,20210722  03:42:00
58,1.090055,1.090055,1.090055,1.090055,20210722  03:43:00
59,1.09009,1.09009,1.090055,1.090055,20210722  03:44:00
60,1.09009,1.09009,1.09009,1.09009,20210722  03:45:00
61,1.090065,1.09009,1.090065,1.09009,20210722  03:46:00
62,1.09007,1.09007,1.090065,1.090065,20210722  03:47:00
63,1.09009,1.09009,1.090045,1.09007,20210722  03:48:00
64,1.09009,1.0901,1.09007,1.09009,20210722  03:49:00
65,1.09007,1.090095,1.09007,1.09009,20210722  03:50:00
66,1.090075,1.09008,1.09007,1.09007,20210722  03:51:00
67,1.09007,1.09008,1.09004,1.090075,20210722  03:52:00
68,1.090105,1.09011,1.09007,1.090075,20210722  03:53:00
69,1.090065,1.090105,1.09005,1.090105,20210722  03:54:00
70,1.090105,1.090105,1.090065,1.090065,20210722  03:55:00
71,1.090065,1.090105,1.09006,1.090105,20210722  03:56:00
72,1.090065,1.090065,1.090065,1.090065,20210722  03:57:00
73,1.090065,1.090065,1.090065,1.090065,20210722  03:58:00
74,1.09006,1.090065,1.09006,1.090065,20210722  03:59:00
75,1.09011,1.09011,1.09006,1.09006,20210722  04:00:00
